Timestamp,How often do you visit Centennial Park?,How far do you travel to get to the Park?,Why do you visit the Park? (check all that apply),"On a scale of 1 to 10, with 1 being ""Very poorly"" and 10 being ""Very well"", how do you feel that the Park is maintained?",Did you notice any issues in the Park today? (check all that apply),Do you believe the Park could benefit from more ongoing activities or services?,"If yes, which activities or services would you most like to see? (select all that apply)","On a scale of 1-10, with 1 being ""Not safe at all"" and 10 being ""Very safe"", how safe do you feel in the Park?","Were you aware that there is a nonprofit support group, Centennial Park Conservancy, that helps to underwrite Park improvements and arts & educational programs in the Parthenon and Park through donations and memberships?",Are you a member of Centennial Park Conservancy?,Is there anything else you would like to share with us today?,What is your age?,What is your race / ethnicity?,What is your ethnicity?,What is your gender?,Would you like to receive monthly updates about events and programs in Centennial Park?,Would you like to learn more about becoming a member of Centennial Park Conservancy?
4/15/2022 11:35:39,Occasionally,1 - 5 miles away,"Spend time in an outdoor green space, Visit the Parthenon, Attend events, Picnic, Feed the ducks",8,Trash or litter,Yes,"Events, More food and beverage options, Carousel, Public restrooms",7,Yes,No,,16-25,White,,Man,No,No
4/15/2022 11:55:48,Daily,Less than a mile away,"Spend time in an outdoor green space, Exercise (walk, bike, run), Attend events",9,"Damage or deterioration, Trash or litter",Yes,"Events, More food and beverage options, Carousel, Public restrooms, Monitor homeless pop. Inside park; control panhandlers in park pestering park visitors",9,Yes,Yes,,66+,White,,Woman,Yes,No
4/15/2022 18:16:48,Occasionally,1 - 5 miles away,"Spend time in an outdoor green space, Visit the Parthenon, Walk dog, Visit the dog park",8,Trash or litter,Yes,"Events, More food and beverage options, Public restrooms",10,No,No,,26-35,Prefer not to say,,Man,No,No
4/15/2022 18:17:54,Monthly,1 - 5 miles away,"Spend time in an outdoor green space, Visit the Parthenon, Attend events, Walk dog",8,Trash or litter,Yes,"Events, More food and beverage options, Public restrooms",10,No,No,,26-35,Prefer not to say,,Man,No,No
4/16/2022 13:01:22,Occasionally,"10+ miles away, but no more than 50 miles","Spend time in an outdoor green space, Exercise (walk, bike, run), Visit the Parthenon",10,Landscaping issues,No,,10,No,No,,26-35,White,,Man,No,No
4/16/2022 13:15:24,Monthly,6 - 9 miles away,"Spend time in an outdoor green space, Visit the Parthenon, Visit Centennial Performing Arts Studios, Attend events, Visit the playground",10,Landscaping issues,Yes,More food and beverage options,8,No,No,,26-35,Asian,,Woman,No,No
4/16/2022 14:11:44,Weekly,1 - 5 miles away,"Spend time in an outdoor green space, Exercise (walk, bike, run), Picnic, Walk dog, Play sports",10,Landscaping issues,Yes,"Events, More food and beverage options, Public restrooms",10,Yes,No,,26-35,Black or African American,,Woman,No,No
4/16/2022 14:34:34,Monthly,1 - 5 miles away,"Spend time in an outdoor green space, Exercise (walk, bike, run), Walk dog",7,No bathroom. Amphitheater is dilapidated ,Yes,"Events, Public restrooms, Fix the amphitheater for plays and music. Should be a jewel",9,Yes,No,How about a tennesee flower garden. Finish the garden for children killed by violence ,56-65,White,,Man,No,No
4/16/2022 18:15:59,Weekly,Less than a mile away,"Exercise (walk, bike, run)",7,Trash or litter,Yes,More food and beverage options,7,No,No,Please take all the trash out of the lake. ,16-25,Multiracial,,Man,No,No
4/16/2022 20:25:27,Monthly,"10+ miles away, but no more than 50 miles","Spend time in an outdoor green space, Exercise (walk, bike, run), Walk dog",6,"Damage or deterioration, Trash or litter, Saw some dead fish in the pond. There is a lot of parcel covers, cups and plastic thrown in the lake, there are ducks and fish in there!! We must allow them to have access to clean water! Fine people actively for littering the pond please and have a cleaning drive.",Yes,More food and beverage options,6,No,No,Please clean the pond! And fine people for littering,26-35,Asian,,Woman,Yes,No
4/17/2022 13:52:47,Rarely,"From out of State, but in the U.S.","Spend time in an outdoor green space, Exercise (walk, bike, run), Visit the Parthenon",9,Trash or litter,Yes,"More food and beverage options, Public restrooms",10,No,No,,16-25,White,,Woman,No,No
4/17/2022 15:53:39,Daily,Less than a mile away,"Spend time in an outdoor green space, Exercise (walk, bike, run), Visit the Parthenon, Walk dog, Visit the dog park",9,Trash or litter,Yes,"Events, Walking/golf cart tours",9,Yes,Yes,"I love Musician’s Corner, but I think utilizing the band shell for musicians at Belmont and other arts schools would be outstanding. It could be a monthly showcase.",36-45,White,,Man,No,No
4/17/2022 16:32:30,Rarely,"From out of State, but in the U.S.",Visit the Parthenon,6,"Trash or litter, Landscaping issues",Yes,Events,8,No,No,,26-35,White,,Woman,No,No
4/18/2022 9:02:50,Occasionally,"10+ miles away, but no more than 50 miles","Spend time in an outdoor green space, Exercise (walk, bike, run)",2,"Trash or litter, Signage unclear",Yes,"Events, More food and beverage options",5,No,No,,36-45,Multiracial,,Woman,No,No
4/18/2022 19:23:35,Weekly,"10+ miles away, but no more than 50 miles","Exercise (walk, bike, run), Visit Centennial Performing Arts Studios, Walk dog, Visit the dog park",9,Feel really bad that that the homeless folks have lost their place to hang out...,Yes,"Events, More food and beverage options, Public restrooms",10,No,No,,46-55,Prefer not to say,,Prefer not to say,Yes,No
4/18/2022 19:46:08,Monthly,Less than a mile away,"Spend time in an outdoor green space, Exercise (walk, bike, run), Attend events",6,"Damage or deterioration, Trash or litter, Landscaping issues, Pond bloom / eutrophication ",Yes,"Events, More food and beverage options, Carousel, Public restrooms",7,Yes,No,Thank you for caring for the parks! I love the tree signage. ,26-35,White,,Woman,Yes,No
4/18/2022 21:43:56,Weekly,"10+ miles away, but no more than 50 miles","Spend time in an outdoor green space, Exercise (walk, bike, run), Visit Centennial Performing Arts Studios, Attend events",10,Trash or litter,Yes,"Events, More food and beverage options",10,Yes,No,There should be more trash cans available in order to cut down on the likelihood of people littering. This may be even more important to the parking areas where people like to sit around and eat their McDonald’s and dump that trash around.,16-25,Hispanic or Latinx,,Man,No,No
4/19/2022 10:25:50,Rarely,"From out of State, but in the U.S.","Spend time in an outdoor green space, Visit the Parthenon, Walk dog",8,Signage unclear,Yes,"Public restrooms, Map of park amenities near entrance and/or near parthenon",7,No,No,"We were passing thru on a road trip. Mixed messaging about the Parthenon, on the website about, being closed on Tuesdays. We could have gone in but thought it was closed until we found out too late to be able to enter.",46-55,White,,Woman,No,No
4/19/2022 14:19:57,Rarely,1 - 5 miles away,"Spend time in an outdoor green space, Exercise (walk, bike, run)",5,Landscaping issues,No,,9,No,No,,16-25,White,,Woman,No,No
4/19/2022 17:31:14,Daily,Less than a mile away,"Spend time in an outdoor green space, Exercise (walk, bike, run), Visit the Parthenon, Attend events",8,Homelessness,No,,9,No,No,,16-25,Asian,,Man,No,No
4/19/2022 18:30:26,Daily,Less than a mile away,"Exercise (walk, bike, run), Picnic, Feed the ducks",9,Signage unclear,Yes,"Events, More food and beverage options, Public restrooms",8,No,No,,16-25,White,,Woman,No,No
4/20/2022 12:22:22,Weekly,"10+ miles away, but no more than 50 miles","Visit Centennial Performing Arts Studios, Visit the playground",9,No TP in the portapottys,Yes,"Events, Carousel, Public restrooms",6,No,No,Public restrooms are needed. Portapotty’s aren’t enough ,26-35,White,,Woman,Yes,No
4/20/2022 12:25:05,Weekly,"10+ miles away, but no more than 50 miles",Visit the playground,8,No TP in porta pottys,Yes,"Carousel, Public restrooms",6,No,No,Public restrooms needed ,26-35,White,,Woman,No,No
4/20/2022 14:55:56,Monthly,1 - 5 miles away,"Spend time in an outdoor green space, Exercise (walk, bike, run), Picnic",9,None,Yes,"Events, More food and beverage options, Public restrooms",10,No,No,,16-25,White,,Woman,No,No
4/20/2022 15:16:27,Weekly,1 - 5 miles away,"Exercise (walk, bike, run)",9,No,No,,8,No,No,,46-55,White,,Woman,Yes,No
4/20/2022 15:45:10,Rarely,"From out of State, but in the U.S.",Visit the Parthenon,8,Trash or litter,Yes,"Events, More food and beverage options, Public restrooms",7,No,No,,16-25,White,,Woman,No,No
4/20/2022 16:14:07,Occasionally,"From out of State, but in the U.S.","Spend time in an outdoor green space, Looking for baby turtles in the lake",5,"Damage or deterioration, Trash or litter, Dead goose in the lake, one of the swing benches is broken",Yes,Public restrooms,10,No,No,,36-45,White,,Woman,No,No
4/20/2022 18:42:11,Weekly,6 - 9 miles away,"Spend time in an outdoor green space, Exercise (walk, bike, run), Visit the Parthenon, Picnic, Play Pokémon Go",7,Damage or deterioration,Yes,"Events, More food and beverage options, Carousel, Public restrooms",7,No,No,"Mmm, nah I don’t think so.",26-35,Prefer not to say,,Prefer not to say,No,No
4/21/2022 9:50:48,Rarely,"From out of State, but in the U.S.",Visit the Parthenon,8,Trash or litter,Yes,"Events, More food and beverage options, Public restrooms",7,No,No,,16-25,White,,Woman,No,No
4/21/2022 11:35:30,Rarely,"From out of State, but in the U.S.",Visit the Parthenon,10,None,No,"Events, Public restrooms",10,No,No,,16-25,White,,Woman,No,No
4/21/2022 11:37:41,Rarely,"From out of State, but in the U.S.","Visit the Parthenon, Visit Centennial Arts Center",10,No e,Yes,"Events, More food and beverage options",10,No,No,,56-65,White,,Man,No,No
4/22/2022 12:29:05,Rarely,"From out of State, but in the U.S.",Spend time in an outdoor green space,8,Trash or litter,Yes,"Events, Public restrooms",10,No,No,We came to visit because Taylor Swift used to come here a lot to read. So we wanted to check it out. It’s been a really good experience. We understand her love for this park. So very green and big to walk and enjoy the outside with beautiful weather. ,16-25,Hispanic or Latinx,,Woman,No,No
4/22/2022 14:01:36,Rarely,"From out of State, but in the U.S.",Visit the Parthenon,10,None,No,,10,No,No,,26-35,Asian,,Woman,No,No
4/22/2022 14:46:17,Monthly,1 - 5 miles away,"Spend time in an outdoor green space, Exercise (walk, bike, run), Attend events",10,Trash or litter,Yes,"Events, Carousel, Public restrooms",10,No,No,,16-25,White,,Woman,Yes,No
4/22/2022 17:22:21,Rarely,"From out of State, but in the U.S.",Visit the Parthenon,8,"Trash or litter, I saw a kid throw a baby turtle in the water 😞 ",Yes,"Events, Public restrooms",10,No,No,Maybe more signs to not touch wildlife. Cleaner lake,26-35,Asian,,Woman,No,No
4/22/2022 18:04:25,Weekly,6 - 9 miles away,"Spend time in an outdoor green space, Exercise (walk, bike, run), Visit the Parthenon, Picnic, Feed the ducks, Play sports",10,No bathroom ,Yes,Public restrooms,10,Yes,No,No,16-25,White,,Man,No,No
4/22/2022 18:05:10,Weekly,6 - 9 miles away,"Spend time in an outdoor green space, Exercise (walk, bike, run), Visit Centennial Arts Center, Use the volleyball courts",9,Trash or litter,Yes,Events,10,Yes,No,,16-25,Black or African American,,Woman,Yes,No
4/23/2022 16:46:41,Monthly,1 - 5 miles away,"Spend time in an outdoor green space, Attend events, Picnic, Walk dog",8,Trash or litter,Yes,"Events, More food and beverage options",8,Yes,No,,26-35,White,,Man,No,No
4/24/2022 7:50:56,Weekly,1 - 5 miles away,"Spend time in an outdoor green space, Exercise (walk, bike, run), Attend events",9,Trash or litter,Yes,"Events, Public restrooms",9,No,No,,26-35,Black or African American,,Woman,Yes,No
4/24/2022 7:51:26,Weekly,Less than a mile away,"Spend time in an outdoor green space, Exercise (walk, bike, run), Visit the Parthenon, Attend events, Picnic, Play sports",9,Trash or litter,Yes,Public restrooms,10,No,No,No,26-35,Multiracial,,Man,Yes,No
4/24/2022 11:46:41,Weekly,1 - 5 miles away,"Spend time in an outdoor green space, Exercise (walk, bike, run), Feed the ducks",9,Trash or litter,Yes,"Events, More food and beverage options, Public restrooms",8,Yes,No,,16-25,Black or African American,,Man,No,No
4/24/2022 15:48:08,Weekly,1 - 5 miles away,"Spend time in an outdoor green space, Exercise (walk, bike, run)",9,Weed Smokers,Yes,"Events, More food and beverage options, Carousel",9,Yes,No,,16-25,White,,Man,No,No
4/25/2022 7:55:53,Weekly,"10+ miles away, but no more than 50 miles","Visit Centennial Performing Arts Studios, Visit the playground",7,"Trash or litter, No TP in the porta pottys",Yes,"Carousel, Public restrooms, TP in porta potty’s, at the very least",6,No,No,,26-35,White,,Woman,Yes,No
4/25/2022 7:59:24,Weekly,"10+ miles away, but no more than 50 miles","Visit Centennial Performing Arts Studios, Visit the playground",7,"Trash or litter, No toilet paper in the portapottys",Yes,"Carousel, Public restrooms",7,No,No,Please provide more toilet paper in the portapottys,26-35,White,,Woman,Yes,No
4/25/2022 8:01:45,Weekly,"10+ miles away, but no more than 50 miles","Visit Centennial Performing Arts Studios, Visit the playground",7,"Trash or litter, There was no toilet paper in the porta jons",Yes,"Carousel, Public restrooms",6,No,No,,26-35,White,,Woman,Yes,No
4/25/2022 17:52:37,Weekly,1 - 5 miles away,"Exercise (walk, bike, run), Feed the ducks",9,None,Yes,"Events, More food and beverage options, Carousel, Public restrooms",9,No,No,,16-25,Black or African American,,Woman,Yes,No
4/26/2022 17:13:22,Daily,Less than a mile away,"Spend time in an outdoor green space, Walk dog, Visit the dog park",6,"Damage or deterioration, Trash or litter",Yes,"Events, More food and beverage options, Walking/golf cart tours",6,Yes,No,There seems to be litter accumulation near park benches and gazebos,16-25,White,,Man,No,No
4/29/2022 13:05:21,Rarely,"10+ miles away, but no more than 50 miles","Feed the ducks, Fun",10,No,No,,10,No,No,,46-55,White,,Woman,No,No
4/29/2022 19:00:28,Daily,6 - 9 miles away,"Spend time in an outdoor green space, Exercise (walk, bike, run), Attend events, Picnic, Feed the ducks, Visit the playground, Play sports, Make the videos for YouTube ",8,Only a little bit of trash,Yes,"Events, More food and beverage options",8,No,No,We need taco trucks,Prefer not to say,Prefer not to say,,Man,No,No
4/30/2022 13:59:33,Rarely,Greater than 50 miles,Visit the Parthenon,8,Trash or litter,No,,10,No,No,,46-55,Prefer not to say,,Woman,No,No
5/3/2022 11:15:24,Occasionally,Greater than 50 miles,"Spend time in an outdoor green space, Exercise (walk, bike, run), Visit the Parthenon, Feed the ducks",7,Trash or litter,Yes,"Events, More food and beverage options, Walking/golf cart tours, Carousel",9,No,No,We need more trash cans. ,16-25,White,,Non-binary/non-conforming,No,No
5/3/2022 11:22:57,Rarely,"From out of State, but in the U.S.",Visit the Parthenon,7,"Damage or deterioration, Trash or litter",Yes,"Events, More food and beverage options, Walking/golf cart tours, Carousel, Public restrooms",9,No,No,The Parthenon is so pretty.,16-25,White,,Non-binary/non-conforming,No,No
5/3/2022 13:44:32,Occasionally,Greater than 50 miles,Family member at Vanderbilt waiting on doctors office visit,2,Porta potty’s are atrocious,Yes,Public restrooms,7,No,No,,56-65,Prefer not to say,,Prefer not to say,No,No
5/4/2022 20:28:04,Occasionally,"10+ miles away, but no more than 50 miles","Spend time in an outdoor green space, Exercise (walk, bike, run), Picnic, Walk dog, Feed the ducks, Visit the playground, Play sports",8,The pond ,Yes,"Events, More food and beverage options, Walking/golf cart tours, Carousel, Public restrooms",10,No,No,,26-35,Black or African American,,Woman,No,No
5/5/2022 15:38:33,Rarely,"From out of State, but in the U.S.","Spend time in an outdoor green space, Visit the Parthenon, The history and restoration of the park interests me. ",9,None,No,"I’m not aware of the programs offered beyond the tours of the Parthenon, so I have no opinion. ",10,Yes,No,,56-65,White,,Woman,No,No
5/7/2022 18:59:11,Weekly,"10+ miles away, but no more than 50 miles","Spend time in an outdoor green space, Exercise (walk, bike, run), Visit the Parthenon",9,Trash or litter,Yes,Events,10,No,No,,16-25,White,,Man,No,No
